time/fps,time/time_elapsed,train/learning_rate,train/value_loss,time/total_timesteps,train/entropy_loss,train/n_updates,time/iterations,train/explained_variance,train/reward,train/policy_loss,train/std
112,4,0.0007,103.18785095214844,500,-31.358505249023438,99,100,-0.02492368221282959,-0.29539528,277.2939453125,1.0063109397888184
116,8,0.0007,18.910648345947266,1000,-31.408267974853516,199,200,-0.6774709224700928,-1.3632393,141.37828063964844,1.008985996246338
117,12,0.0007,2.1048004627227783,1500,-31.440471649169922,299,300,0.09773218631744385,1.6139666,39.17144775390625,1.0104235410690308
117,17,0.0007,1.058127760887146,2000,-31.44729232788086,399,400,0.0,1.3984792,-5.606132507324219,1.0110033750534058
117,21,0.0007,10.730977058410645,2500,-31.475399017333984,499,500,-1.1920928955078125e-07,-6.870926,31.5229549407959,1.0121642351150513
117,25,0.0007,19.422443389892578,3000,-31.52658462524414,599,600,1.7881393432617188e-07,0.701386,-135.21958923339844,1.014546275138855
117,29,0.0007,36.2512092590332,3500,-31.50705909729004,699,700,1.1920928955078125e-07,1.2013118,-180.79229736328125,1.0135118961334229
117,34,0.0007,7.192568778991699,4000,-31.471370697021484,799,800,5.960464477539063e-08,-0.920039,73.87953186035156,1.0119446516036987
117,38,0.0007,8.822021484375,4500,-31.454410552978516,899,900,0.0,-0.23180859,-85.15222930908203,1.0111881494522095
116,42,0.0007,5.976387977600098,5000,-31.465801239013672,999,1000,0.0,2.5826516,-17.811168670654297,1.0118703842163086
116,47,0.0007,50.76240921020508,5500,-31.425649642944336,1099,1100,-0.056267738342285156,-1.1531047,206.16796875,1.0099501609802246
116,51,0.0007,37.20537567138672,6000,-31.418542861938477,1199,1200,1.1920928955078125e-07,2.2549338,170.65615844726562,1.0096737146377563
116,56,0.0007,1.893580675125122,6500,-31.412723541259766,1299,1300,0.0,0.9014412,-30.0731201171875,1.009517788887024
115,60,0.0007,9.784435272216797,7000,-31.453882217407227,1399,1400,-0.007396578788757324,-1.3247284,94.71930694580078,1.0113677978515625
115,64,0.0007,0.3775026202201843,7500,-31.470577239990234,1499,1500,0.0,0.5786621,-15.605198860168457,1.0120772123336792
113,70,0.0007,156.08956909179688,8000,-31.478763580322266,1599,1600,5.960464477539063e-08,-8.09635,-381.73388671875,1.0124640464782715
112,75,0.0007,4.554521083831787,8500,-31.500635147094727,1699,1700,-0.11154115200042725,1.0639359,37.04216384887695,1.013548731803894
111,80,0.0007,0.8734133839607239,9000,-31.51800537109375,1799,1800,0.0,-0.5875229,-18.536867141723633,1.0144193172454834
111,85,0.0007,16.650379180908203,9500,-31.508464813232422,1899,1900,-0.14313828945159912,2.5139685,-120.5836410522461,1.0140143632888794
110,90,0.0007,5.104585647583008,10000,-31.446914672851562,1999,2000,0.1937955617904663,-0.38443503,-70.65911865234375,1.0110549926757812
